"tract","Name","Density_of_Jobs_in_2013"
26163539000,"Eight Mile Wyoming, Detroit, MI",211.9
26125166900,"Farmington Hills, MI",193.1
26125157000,"West Bloomfield Township, MI",188.5
26163541800,"Five Points, Detroit, MI",183.2
26125134300,"Commerce Charter Township, MI",176.4
26163540700,"Detroit, MI",175.1
26163540200,"Detroit, MI",174.8
26163538900,"Detroit, MI",173
26125150700,"Bloomfield Hills, MI",171.8
26125135100,"Commerce Charter Township, MI",163.9
26125156200,"West Bloomfield Township, MI",162.6
26125133003,"Wixom, MI",161.4
26125196400,"Troy, MI",152.5
26125171100,"Oak Park, MI",148.9
26125167800,"Farmington Hills, MI",144.4
26125156100,"West Bloomfield Township, MI",137.5
26125156400,"West Bloomfield Township, MI",125.6
26125154100,"West Bloomfield Township, MI",124.5
26125145200,"Waterford Township, MI",113.4
26125166400,"Farmington Hills, MI",96.42
26125133002,"Wixom, MI",89.09
26125145502,"Waterford Township, MI",86.04
26125167900,"Farmington Hills, MI",82
26125150400,"Bloomfield Township, MI",65.36
26125137400,"Novi, MI",59.37
26125154600,"West Bloomfield Township, MI",59.28
26125130600,"White Lake, White Lake charter Township, MI",45.45
26125130300,"White Lake, White Lake charter Township, MI",45.11
26125135300,"Commerce Charter Township, MI",16.49
