"tract","Name","Household_Income_rP_gP_pall"
26125162000,"Southfield, MI",33219
26125171400,"Oak Park, MI",33146
26125162300,"Southfield, MI",33002
26125172400,"Oak Park, MI",32509
26125162400,"Southfield, MI",31707
26125171300,"Oak Park, MI",31309
26163541500,"Berg - Lahser, Detroit, MI",30908
26125162100,"Southfield, MI",30407
26163538800,"Detroit, MI",29707
26125162200,"Southfield, MI",29496
26125171500,"Oak Park, MI",28953
26125160300,"Southfield, MI",28238
26163541700,"Detroit, MI",28033
26163538900,"Detroit, MI",27530
26163540900,"Detroit, MI",27377
26163539100,"Eight Mile Wyoming, Detroit, MI",27169
26125171600,"Oak Park, MI",27086
26163539300,"Detroit, MI",26884
26163540800,"Detroit, MI",26345
26163539200,"Detroit, MI",26128
26163540700,"Detroit, MI",25788
26125172500,"Ferndale, MI",25078
26125142700,"Pontiac, MI",24733
26163540200,"Detroit, MI",24703
26163540100,"Detroit, MI",23697
26163539700,"Detroit, MI",23403
26125142300,"Pontiac, MI",23382
26163539000,"Eight Mile Wyoming, Detroit, MI",22237
